"Year","Geographylevel","Indicator","Categories","Sex","Percent","Mean","LowerCI","UpperCI"
"2017","Scotland","Self-assessed general health","Fair","All",18,NA,16.6,19.6
"2017","Scotland","Self-assessed general health","Bad/Very bad","All",8,NA,7.3,9.6
"2017","Scotland","Self-assessed general health","Very good/Good","Female",72,NA,70,74.4
"2017","Scotland","Self-assessed general health","Fair","Female",19,NA,16.8,20.5
"2017","Scotland","Self-assessed general health","Bad/Very bad","Female",9,NA,7.7,10.5
"2017","Scotland","Self-assessed general health","Very good/Good","Male",75,NA,72.1,77.3
"2017","Scotland","Self-assessed general health","Fair","Male",18,NA,15.4,19.7
"2017","Scotland","Self-assessed general health","Bad/Very bad","Male",8,NA,6.1,9.4
"2018","Scotland","Self-assessed general health","Very good/Good","All",71,NA,69.8,73.1
"2018","Scotland","Self-assessed general health","Fair","All",20,NA,18.6,21.4
"2018","Scotland","Self-assessed general health","Bad/Very bad","All",9,NA,7.6,9.5
"2018","Scotland","Self-assessed general health","Very good/Good","Female",71,NA,69,73
"2018","Scotland","Self-assessed general health","Fair","Female",20,NA,17.8,21.3
"2018","Scotland","Self-assessed general health","Bad/Very bad","Female",9,NA,8.2,10.7
"2018","Scotland","Self-assessed general health","Very good/Good","Male",72,NA,69.6,74.4
"2018","Scotland","Self-assessed general health","Fair","Male",20,NA,18.3,22.6
"2018","Scotland","Self-assessed general health","Bad/Very bad","Male",8,NA,6.3,8.9
"2019","Scotland","Self-assessed general health","Very good/Good","All",72,NA,70.3,73.5
"2019","Scotland","Self-assessed general health","Fair","All",19,NA,18,20.6
"2019","Scotland","Self-assessed general health","Bad/Very bad","All",9,NA,7.8,9.8
"2019","Scotland","Self-assessed general health","Very good/Good","Female",70,NA,68.4,72.2
"2019","Scotland","Self-assessed general health","Fair","Female",20,NA,18.2,21.6
"2019","Scotland","Self-assessed general health","Bad/Very bad","Female",10,NA,8.5,11.1
"2019","Scotland","Self-assessed general health","Very good/Good","Male",74,NA,71.3,75.8
"2019","Scotland","Self-assessed general health","Fair","Male",19,NA,16.8,20.5
"2019","Scotland","Self-assessed general health","Bad/Very bad","Male",8,NA,6.5,9.1
"2009","Scotland","Self-assessed general health (children)","Very good/Good","All",95,NA,94.5,96.2
"2009","Scotland","Self-assessed general health (children)","Fair","All",4,NA,3.3,4.9
"2009","Scotland","Self-assessed general health (children)","Bad/Very bad","All",1,NA,0.2,0.9
"2009","Scotland","Self-assessed general health (children)","Very good/Good","Female",95,NA,93.5,96.2
"2009","Scotland","Self-assessed general health (children)","Fair","Female",4,NA,3.2,5.5
"2009","Scotland","Self-assessed general health (children)","Bad/Very bad","Female",1,NA,0.1,1.4
"2009","Scotland","Self-assessed general health (children)","Very good/Good","Male",96,NA,94.6,96.9
"2009","Scotland","Self-assessed general health (children)","Fair","Male",4,NA,2.8,5
"2009","Scotland","Self-assessed general health (children)","Bad/Very bad","Male",0,NA,0,0.7
"2010","Scotland","Self-assessed general health (children)","Very good/Good","All",94,NA,93.2,95.5
"2010","Scotland","Self-assessed general health (children)","Fair","All",5,NA,3.6,5.7
"2010","Scotland","Self-assessed general health (children)","Bad/Very bad","All",1,NA,0.5,1.5
"2010","Scotland","Self-assessed general health (children)","Very good/Good","Female",95,NA,93.2,96.5
"2010","Scotland","Self-assessed general health (children)","Fair","Female",4,NA,2.7,5.7
"2010","Scotland","Self-assessed general health (children)","Bad/Very bad","Female",1,NA,0.2,1.7
"2010","Scotland","Self-assessed general health (children)","Very good/Good","Male",94,NA,92.4,95.5
"2010","Scotland","Self-assessed general health (children)","Fair","Male",5,NA,3.7,6.5
"2010","Scotland","Self-assessed general health (children)","Bad/Very bad","Male",1,NA,0.3,1.6
"2011","Scotland","Self-assessed general health (children)","Very good/Good","All",96,NA,95.3,97
"2011","Scotland","Self-assessed general health (children)","Fair","All",3,NA,2.4,4
"2011","Scotland","Self-assessed general health (children)","Bad/Very bad","All",1,NA,0.2,1.1
"2011","Scotland","Self-assessed general health (children)","Very good/Good","Female",96,NA,94.7,97.2
"2011","Scotland","Self-assessed general health (children)","Fair","Female",3,NA,1.8,3.8
"2011","Scotland","Self-assessed general health (children)","Bad/Very bad","Female",1,NA,0.4,2
"2011","Scotland","Self-assessed general health (children)","Very good/Good","Male",96,NA,95.1,97.5
"2011","Scotland","Self-assessed general health (children)","Fair","Male",4,NA,2.4,4.8
"2011","Scotland","Self-assessed general health (children)","Bad/Very bad","Male",0,NA,0,0.3
"2012","Scotland","Self-assessed general health (children)","Very good/Good","All",94,NA,93.1,95.6
"2012","Scotland","Self-assessed general health (children)","Fair","All",5,NA,4,6.4
"2012","Scotland","Self-assessed general health (children)","Bad/Very bad","All",0,NA,0.1,0.8
"2012","Scotland","Self-assessed general health (children)","Very good/Good","Female",95,NA,93.5,96.4
"2012","Scotland","Self-assessed general health (children)","Fair","Female",5,NA,3.1,5.9
"2012","Scotland","Self-assessed general health (children)","Bad/Very bad","Female",1,NA,0,1.1
"2012","Scotland","Self-assessed general health (children)","Very good/Good","Male",94,NA,92,95.5
"2012","Scotland","Self-assessed general health (children)","Fair","Male",6,NA,4.1,7.5
"2012","Scotland","Self-assessed general health (children)","Bad/Very bad","Male",0,NA,0,0.8
"2013","Scotland","Self-assessed general health (children)","Very good/Good","All",95,NA,93.4,95.8
"2013","Scotland","Self-assessed general health (children)","Fair","All",5,NA,3.5,5.6
"2013","Scotland","Self-assessed general health (children)","Bad/Very bad","All",1,NA,0.4,1.4
"2013","Scotland","Self-assessed general health (children)","Very good/Good","Female",95,NA,93.1,96.4
"2013","Scotland","Self-assessed general health (children)","Fair","Female",4,NA,2.6,5.5
"2013","Scotland","Self-assessed general health (children)","Bad/Very bad","Female",1,NA,0.4,2
"2013","Scotland","Self-assessed general health (children)","Very good/Good","Male",94,NA,92.7,96.1
"2013","Scotland","Self-assessed general health (children)","Fair","Male",5,NA,3.4,6.6
"2013","Scotland","Self-assessed general health (children)","Bad/Very bad","Male",1,NA,0,1.2
"2014","Scotland","Self-assessed general health (children)","Very good/Good","All",95,NA,93.4,96.1
"2014","Scotland","Self-assessed general health (children)","Fair","All",5,NA,3.4,5.9
"2014","Scotland","Self-assessed general health (children)","Bad/Very bad","All",1,NA,0.2,1
"2014","Scotland","Self-assessed general health (children)","Very good/Good","Female",95,NA,93.1,96.9
"2014","Scotland","Self-assessed general health (children)","Fair","Female",4,NA,2.7,6.3
"2014","Scotland","Self-assessed general health (children)","Bad/Very bad","Female",1,NA,0,1.2
"2014","Scotland","Self-assessed general health (children)","Very good/Good","Male",95,NA,92.7,96.4
"2014","Scotland","Self-assessed general health (children)","Fair","Male",5,NA,3.1,6.6
"2014","Scotland","Self-assessed general health (children)","Bad/Very bad","Male",1,NA,0.1,1.2
"2015","Scotland","Self-assessed general health (children)","Very good/Good","All",96,NA,94.6,96.8
"2015","Scotland","Self-assessed general health (children)","Fair","All",4,NA,2.6,4.6
"2015","Scotland","Self-assessed general health (children)","Bad/Very bad","All",1,NA,0.2,1.1
"2015","Scotland","Self-assessed general health (children)","Very good/Good","Female",98,NA,96.7,98.8
"2015","Scotland","Self-assessed general health (children)","Fair","Female",2,NA,0.7,2.5
"2015","Scotland","Self-assessed general health (children)","Bad/Very bad","Female",1,NA,0.1,1.3
"2015","Scotland","Self-assessed general health (children)","Very good/Good","Male",94,NA,91.9,95.5
"2015","Scotland","Self-assessed general health (children)","Fair","Male",6,NA,3.9,7.3
"2015","Scotland","Self-assessed general health (children)","Bad/Very bad","Male",1,NA,0.1,1.3
"2016","Scotland","Self-assessed general health (children)","Very good/Good","All",95,NA,94.3,96.6
"2016","Scotland","Self-assessed general health (children)","Fair","All",4,NA,2.5,4.6
"2016","Scotland","Self-assessed general health (children)","Bad/Very bad","All",1,NA,0.4,1.6
"2016","Scotland","Self-assessed general health (children)","Very good/Good","Female",96,NA,94.3,97.9
"2016","Scotland","Self-assessed general health (children)","Fair","Female",3,NA,1.4,4.7
"2016","Scotland","Self-assessed general health (children)","Bad/Very bad","Female",1,NA,0.1,1.6
"2016","Scotland","Self-assessed general health (children)","Very good/Good","Male",95,NA,93.3,96.4
"2016","Scotland","Self-assessed general health (children)","Fair","Male",4,NA,2.6,5.3
"2016","Scotland","Self-assessed general health (children)","Bad/Very bad","Male",1,NA,0.3,1.9
"2017","Scotland","Self-assessed general health (children)","Very good/Good","All",94,NA,92.5,95
"2017","Scotland","Self-assessed general health (children)","Fair","All",5,NA,3.9,6.2
"2017","Scotland","Self-assessed general health (children)","Bad/Very bad","All",1,NA,0.6,1.7
"2017","Scotland","Self-assessed general health (children)","Very good/Good","Female",93,NA,91.2,95.2
"2017","Scotland","Self-assessed general health (children)","Fair","Female",5,NA,3.6,7.2
"2017","Scotland","Self-assessed general health (children)","Bad/Very bad","Female",1,NA,0.5,2.4
"2017","Scotland","Self-assessed general health (children)","Very good/Good","Male",94,NA,92.8,95.9
"2017","Scotland","Self-assessed general health (children)","Fair","Male",5,NA,3.3,6.2
"2017","Scotland","Self-assessed general health (children)","Bad/Very bad","Male",1,NA,0.2,1.6
"2018","Scotland","Self-assessed general health (children)","Very good/Good","All",94,NA,93.2,95.4
"2018","Scotland","Self-assessed general health (children)","Fair","All",5,NA,3.7,5.6
"2018","Scotland","Self-assessed general health (children)","Bad/Very bad","All",1,NA,0.5,1.6
"2018","Scotland","Self-assessed general health (children)","Very good/Good","Female",95,NA,94,97
"2018","Scotland","Self-assessed general health (children)","Fair","Female",4,NA,2.2,4.8
"2018","Scotland","Self-assessed general health (children)","Bad/Very bad","Female",1,NA,0.3,1.7
"2018","Scotland","Self-assessed general health (children)","Very good/Good","Male",93,NA,91.5,94.9
"2018","Scotland","Self-assessed general health (children)","Fair","Male",6,NA,4.2,7.2
"2018","Scotland","Self-assessed general health (children)","Bad/Very bad","Male",1,NA,0.4,1.9
"2019","Scotland","Self-assessed general health (children)","Very good/Good","All",95,NA,93.3,95.7
"2019","Scotland","Self-assessed general health (children)","Fair","All",5,NA,3.7,5.9
"2019","Scotland","Self-assessed general health (children)","Bad/Very bad","All",1,NA,0.3,1.1
"2019","Scotland","Self-assessed general health (children)","Very good/Good","Female",95,NA,93.1,96.5
"2019","Scotland","Self-assessed general health (children)","Fair","Female",5,NA,3.1,6.1
"2019","Scotland","Self-assessed general health (children)","Bad/Very bad","Female",1,NA,0.1,1.1
"2019","Scotland","Self-assessed general health (children)","Very good/Good","Male",94,NA,92.6,95.9
"2019","Scotland","Self-assessed general health (children)","Fair","Male",5,NA,3.4,6.5
"2019","Scotland","Self-assessed general health (children)","Bad/Very bad","Male",1,NA,0.2,1.4
